5000	0.000812854	0.00081588	0.000823104	0.00081605	0.000822823	0.000823825	0.000819566	0.000814698	0.000814287	0.00082103
6000	0.00100059	0.00101683	0.00100647	0.00100703	0.00100066	0.00100514	0.00100201	0.00100913	0.00101061	0.00100379
7000	0.00118928	0.00119496	0.00118962	0.00119025	0.00119399	0.00118896	0.0011937	0.00119868	0.00118867	0.00118862
8000	0.00139123	0.00138723	0.00138861	0.00138034	0.00138191	0.00138046	0.0013938	0.00138842	0.0013808	0.00139432
9000	0.00159794	0.00160349	0.00159081	0.00159235	0.00160611	0.00160313	0.00159391	0.00158064	0.00157815	0.00159708
10000	0.00178809	0.00180019	0.00177734	0.00178537	0.00177696	0.00180581	0.00180252	0.00180155	0.00179527	0.00180174
20000	0.00384858	0.00385392	0.00384675	0.00395959	0.00394844	0.0038889	0.00388865	0.00388592	0.00391107	0.00388632
30000	0.00610499	0.00609204	0.00620236	0.00609261	0.0060973	0.00608869	0.00607473	0.00610437	0.00609676	0.00609228
40000	0.00842151	0.00838057	0.00836328	0.00838877	0.0083791	0.00844972	0.00837886	0.00840055	0.00837908	0.00838662
50000	0.0107506	0.0107476	0.0107339	0.0107483	0.0107354	0.0107698	0.0107476	0.0107543	0.0107378	0.0107446
60000	0.0131335	0.0131065	0.0131122	0.0131118	0.0131305	0.0131257	0.0131281	0.013158	0.0131343	0.0131172
70000	0.0155588	0.0155585	0.0155562	0.0155517	0.0155425	0.0155711	0.0155671	0.015551	0.0155453	0.0155488
80000	0.0180013	0.0179965	0.0172272	0.0171864	0.0172178	0.017799	0.0183663	0.0178058	0.0178087	0.0178127
