5000	0.00127569	0.00063072	0.000634979	0.000631461	0.000631391	0.000626061	0.000631582	0.000632524	0.000629387	0.000635349
6000	0.000761737	0.000756888	0.000761117	0.00076304	0.000759273	0.000756368	0.000755326	0.000757058	0.000773039	0.000758371
7000	0.000899427	0.000903205	0.000902273	0.000916861	0.000903596	0.00090665	0.000913194	0.0009113	0.000901692	0.00090585
8000	0.0010395	0.00104809	0.00104594	0.00103577	0.00104339	0.00105473	0.00103428	0.00103764	0.00104243	0.00105458
9000	0.00120656	0.00122075	0.00122221	0.00121407	0.00121568	0.00120531	0.00121954	0.00119763	0.0011977	0.00120578
10000	0.00134167	0.00135002	0.00134359	0.00135668	0.00133329	0.00134173	0.00136576	0.00134014	0.0013389	0.0013486
20000	0.00281113	0.00292132	0.00283715	0.00292466	0.00287821	0.00287494	0.00285318	0.00288136	0.00287878	0.00288484
30000	0.00444709	0.00442877	0.00465303	0.00443806	0.0044149	0.0044237	0.00441989	0.00441177	0.00441269	0.00446875
40000	0.00609534	0.00602444	0.00604703	0.00604749	0.00605632	0.00607317	0.00602501	0.0060351	0.00606271	0.00608131
50000	0.00766562	0.00764286	0.00764728	0.00763908	0.00760906	0.00768817	0.0076439	0.00767713	0.00764977	0.00765848
60000	0.00930002	0.00928892	0.00937408	0.00932011	0.00929783	0.00929664	0.00929611	0.00929584	0.00931041	0.00929715
70000	0.0110742	0.0110239	0.0110539	0.0110333	0.011022	0.0110287	0.0110297	0.01099	0.010981	0.0110468
80000	0.0128762	0.0127127	0.0121962	0.0122711	0.0122961	0.0126959	0.0126602	0.0125611	0.0126419	0.0126635
