5000	1509	1442	1678	1579	1926	1467	1601	1779	1633	1602
6000	1074	1345	1972	1937	2180	1871	2211	1940	2443	2021
7000	2405	2176	2533	2122	2352	2102	2214	2133	2553	2157
8000	1695	1315	1448	1202	2229	2438	2648	2337	2613	2360
9000	2115	3007	3258	3515	3023	3398	3362	3222	3075	3320
10000	3564	2330	2974	3711	3641	3461	3719	3762	3714	3447
20000	7148	7662	6019	7076	5563	7581	5563	7403	7236	7611
30000	11013	10400	8332	10145	8435	8306	8641	10448	11671	10799
40000	9230	16176	14091	15270	15028	16160	16286	16430	15522	15573
50000	19108	19392	19208	19682	18819	19248	19114	19476	19560	19932
60000	19033	22336	22735	22255	23459	20809	20501	22914	22303	23483
70000	27913	28591	28921	26647	28120	25485	28872	28986	29430	28034
80000	33537	29113	32450	32834	32205	32791	32665	31628	32144	32238
