5000.00000	1.44285	1.46332	1.43916	1.43972	1.43965	1.44494	1.42696	1.39518	1.41425	1.48519
6000.00000	2.14733	2.13150	2.16385	2.13249	2.11819	2.14123	2.15136	2.16180	2.16361	2.13945
7000.00000	2.89562	2.91338	2.93151	2.90078	2.92904	2.90650	2.93477	2.94457	2.97451	2.95212
8000.00000	3.90274	3.88532	3.77675	3.80409	3.87453	3.84964	3.76535	3.83387	3.81423	3.80758
9000.00000	4.78538	4.82754	4.82828	4.89070	4.81790	4.67146	4.60627	4.64404	4.65600	4.57378
10000.00000	5.84657	5.94682	5.80602	5.88370	5.85459	5.71641	5.77515	5.82868	5.84606	5.77657
20000.00000	23.37093	23.86734	24.47145	24.06837	23.72826	23.93651	23.97629	23.59354	23.49400	23.32220
30000.00000	52.98336	54.00731	52.52385	53.85489	53.52073	52.97260	52.89466	52.00107	52.31578	53.97058
40000.00000	94.76141	95.85608	94.86971	93.54912	93.42854	94.36780	94.77853	94.91957	94.92359	95.56541
50000.00000	147.05460	149.38301	149.93557	148.20006	148.73398	148.94805	148.56235	150.31096	149.67618	147.09314
60000.00000	211.72303	214.54450	213.36224	211.76317	213.24082	214.25830	217.16055	213.71843	217.04020	211.84787
70000.00000	287.07351	287.78867	288.38595	290.63947	292.21823	289.33250	288.99491	290.01249	289.16621	289.17491
80000.00000	375.52578	379.96131	380.02866	374.55369	382.13606	376.59535	381.74200	380.11365	377.41573	377.65363
